Sensor Type	Diode
Model Number	Cti
Serial Number	(Standard)
Current	10
Number of Data Points	92

Temperature	Data
0	2.05
1	2
2	1.95
3	1.9
4	1.85
5	1.8
6	1.75
7	1.7
8	1.65
9	1.6
10	1.39177
11	1.376084
12	1.35568
13	1.3297
14	1.298796
15	1.26463
16	1.226473
17	1.173
18	1.114
19	1.112
20	1.11
21	1.107202
22	1.104299
23	1.101605
24	1.098998
25	1.09638
26	1.093771
27	1.091231
28	1.088803
29	1.086452
30	1.084156
31	1.081897
32	1.07966
33	1.077433
34	1.075206
35	1.072969
36	1.070712
37	1.068429
38	1.066109
39	1.063744
40	1.061326
41	1.058848
42	1.056301
43	1.053678
44	1.050976
45	1.048193
46	1.045332
47	1.042405
48	1.03943
49	1.036438
50	1.033999
60	1.006993
70	0.978996
80	0.952427
90	0.924565
100	0.898315
110	0.869957
120	0.84292
130	0.816101
140	0.789147
150	0.761964
160	0.734623
170	0.707269
180	0.680031
190	0.652958
200	0.626007
210	0.599062
220	0.571993
230	0.544723
240	0.517311
250	0.489964
260	0.462896
270	0.436054
280	0.408993
290	0.382023
300	0.351988
310	0.320193
320	0.288566
330	0.258622
340	0.230985
350	0.205643
360	0.182318
370	0.160671
380	0.140377
390	0.121144
400	0.102707
410	0.084807
420	0.067164
430	0.049415
440	0.030943
450	0.01
460	0
