Sensor Type	Diode
Model Number	DT470
Serial Number	(Standard)
Current	10
Number of Data Points	59

Temperature	Data
1.4	1.69812
2	1.68786
3	1.66292
4	1.63263
5	1.59782
6	1.56027
7	1.52166
8	1.48443
9	1.45048
10	1.42013
11	1.39287
12	1.36809
13	1.3453
14	1.32412
15	1.30422
16	1.28527
17	1.26702
18	1.24928
19	1.23184
20	1.2144
21	1.19645
22	1.17705
23	1.15558
24	1.13598
25	1.12463
26	1.11896
27	1.11517
28	1.11212
29	1.10945
30	1.10702
32	1.10263
34	1.09864
36	1.0949
38	1.09131
40	1.08781
42	1.08436
44	1.08093
46	1.07748
48	1.07402
50	1.07053
60	1.05267
70	1.03425
80	1.01525
90	0.99565
100	0.9755
120	0.93383
150	0.86873
170	0.82404
200	0.75554
220	0.70908
250	0.63841
270	0.5908
300	0.51892
320	0.47069
350	0.39783
370	0.34881
400	0.27456
420	0.22463
450	0.14985
