Sensor Type	RTD
Model Number	RO600
Serial Number	(Standard)
Current	10
Number of Data Points	57

Temperature	Data
0.05	29072.859
0.1	13114.914
0.15	8973.9765
0.2	6996.0624
0.25	5827.4248
0.3	5052.6218
0.35	4499.972
0.4	4085.2698
0.45	3762.2487
0.5	3503.3265
0.55	3291.0205
0.6	3113.6985
0.65	2963.3172
0.7	2834.1315
0.75	2721.929
0.8	2623.5466
0.85	2536.5654
0.9	2459.1012
0.95	2389.6643
1	2327.0619
1.5	1927.7481
2	1723.4813
2.5	1595.1634
3	1507.5804
3.5	1443.6823
4	1394.8697
4.5	1356.2975
5	1325.013
5.5	1299.11
6	1277.2937
6.5	1258.6633
7	1242.5622
7.5	1228.5047
8	1216.1227
8.5	1205.1316
9	1195.3086
9.5	1186.4758
10	1178.4901
10.5	1171.2348
11	1164.6135
11.5	1158.5465
12	1152.9667
12.5	1147.8174
13	1143.0506
13.5	1138.6251
14	1134.5053
14.5	1130.6606
15	1127.0643
15.5	1123.6929
16	1120.526
16.5	1117.5456
17	1114.7355
17.5	1112.0815
18	1109.571
18.5	1107.1926
19	1104.9362
20	1100.750
