Sensor Type	Diode
Model Number	Si430
Serial Number	(Standard)
Current	10
Number of Data Points	68

Temperature	Data
1.00000	1.64342
2.00000	1.62255
3.00000	1.59108
4.00000	1.55483
5.00000	1.51590
6.00000	1.47740
7.00000	1.44098
8.00000	1.40827
9.00000	1.37998
10.00000	1.35568
11.00000	1.33317
12.00000	1.31277
13.00000	1.29401
14.00000	1.27621
15.00000	1.25932
16.00000	1.24342
17.00000	1.22816
18.00000	1.21325
19.00000	1.19816
20.00000	1.18193
21.00000	1.16246
22.00000	1.13841
23.00000	1.12425
24.00000	1.11828
25.00000	1.11480
26.00000	1.11217
27.00000	1.10996
28.00000	1.10828
29.00000	1.10643
30.00000	1.10465
31.00000	1.10295
32.00000	1.10124
33.00000	1.09952
34.00000	1.09791
35.00000	1.09629
36.00000	1.09468
37.00000	1.09306
38.00000	1.09145
39.00000	1.08983
40.00000	1.08821
45.00000	1.08008
50.00000	1.07188
55.00000	1.06362
60.00000	1.05528
65.00000	1.04687
70.00000	1.03839
75.00000	1.02985
80.00000	1.02127
85.00000	1.01267
90.00000	1.00393
95.00000	0.99510
100.00000	0.98615
125.00000	0.93976
150.00000	0.88988
175.00000	0.83754
200.00000	0.78311
225.00000	0.72743
250.00000	0.67124
275.00000	0.61427
300.00000	0.55674
325.00000	0.49854
350.00000	0.43976
375.00000	0.38080
400.00000	0.32161
425.00000	0.26211
450.00000	0.20231
475.00000	0.14434
500.00000	0.09077
